crisno,year,crisname,ccode1,actor1,ccode2,actor2,history,crisis,victory1,prevail1,victory2,prevail2,a1outcome,a2outcome,ssbn_count_2024_1,ssbn_count_2024_2,ssbn_start_1,ssbn_start_2,hydrogen_start_1,hydrogen_start_2,sss_start_1,sss_start_2,coder,kinetic,a1democracy,a2democracy,complexity,salience,independence,a2awareness,a1awareness,a2threat,a1threat,a1intensity,a2intensity
237,1970,INVASION OF CAMBODIA,816,DRV,811,KHM,1,1,FALSE,FALSE,FALSE,TRUE,LOSS,NEUTRAL,0,0,0,0,0,0,0,0,ben,1,0,0,0,3,0,1,1,CONVENTIONAL,,,2
237,1970,INVASION OF CAMBODIA,816,DRV,817,RVN,1,1,FALSE,FALSE,TRUE,TRUE,LOSS,WIN,0,0,0,0,0,0,0,0,ben,1,0,1,0,3,0,1,1,,,,
238,1970,BLACK SEPTEMBER,652,SYR,663,JOR,0,1,FALSE,FALSE,TRUE,TRUE,LOSE,WIN,0,0,0,0,0,0,0,0,icb,1,0,0,1,3,1,1,1,CONVENTIONAL,CONVENTIONAL,2,
238,1970,BLACK SEPTEMBER,652,SYR,666,ISR,0,1,FALSE,FALSE,TRUE,TRUE,LOSE,WIN,0,0,0,0,0,0,0,0,icb,1,0,1,1,3,1,,1,,CONVENTIONAL,,
238,1970,BLACK SEPTEMBER,2,USA,652,SYR,0,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSE,14,0,1,0,1,0,1,0,icb,1,1,0,1,3,1,1,1,CONVENTIONAL,CONVENTIONAL,3,
238,1970,BLACK SEPTEMBER,663,JOR,652,SYR,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,ben,1,0,0,1,3,1,1,1,CONVENTIONAL,CONVENTIONAL,,2
238,1970,BLACK SEPTEMBER,663,JOR,645,IRQ,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,0,0,0,0,0,0,0,0,ben,1,0,0,0,2,1,1,1,CONVENTIONAL,,,2
238,1970,BLACK SEPTEMBER,2,USA,652,SYR,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,14,0,1,0,1,0,1,0,ben,0,1,0,0,3,1,1,1,,CONVENTIONAL,3,
238,1970,BLACK SEPTEMBER,2,USA,645,IRQ,1,1,TRUE,TRUE,FALSE,FALSE,WIN,LOSS,14,0,1,0,1,0,1,0,ben,0,1,0,0,2,1,1,1,,CONVENTIONAL,3,
239,1970,CIENFUEGOS SUB BASE,2,USA,365,RUS,0,1,TRUE,TRUE,,,WIN,LOSE,14,11,1,1,1,1,1,1,icb,0,1,0,,,,,,,,,
241,1971,INVASION OF LAOS II,732,KOS,816,VTN,0,1,,,TRUE,TRUE,LOSE,WIN,0,0,0,0,0,0,0,0,icb,1,0,0,0,3,0,1,,CONVENTIONAL,,,
241,1971,INVASION OF LAOS II,812,LAO,816,VTN,0,1,FALSE,FALSE,TRUE,TRUE,LOSE,WIN,0,0,0,0,0,0,0,0,icb,1,0,0,0,3,0,1,1,CONVENTIONAL,,,2
241,1971,INVASION OF LAOS II,800,THI,816,VTN,0,1,,,TRUE,TRUE,LOSE,WIN,0,0,0,0,0,0,0,0,icb,1,0,0,0,3,0,1,,CONVENTIONAL,,,
241,1971,INVASION OF LAOS II,2,USA,812,LAO,0,1,,,FALSE,FALSE,,,14,0,1,0,1,0,1,0,icb,0,1,0,0,3,0,1,1,,,,
241,1971,INVASION OF LAOS II,2,USA,816,VTN,0,1,,,TRUE,TRUE,LOSE,WIN,14,0,1,0,1,0,1,0,icb,1,1,0,0,3,0,1,1,CONVENTIONAL,,2,3
241,1971,INVASION OF LAOS II,816,VTN,817,VTS,0,1,TRUE,TRUE,,,WIN,LOSE,0,0,0,0,0,0,0,0,icb,1,0,0,0,3,0,1,1,CONVENTIONAL,CONVENTIONAL,2,3
241,1971,INVASION OF LAOS II,816,VTN,840,PHI,0,1,TRUE,TRUE,,,WIN,LOSE,0,0,0,0,0,0,0,0,icb,1,0,0,0,3,0,,1,,CONVENTIONAL,,
241,1971,INVASION OF LAOS II,816,VTN,900,AUS,0,1,TRUE,TRUE,,,WIN,LOSE,0,0,0,0,0,0,0,0,icb,1,0,1,0,3,0,,1,,CONVENTIONAL,,
241,1971,Invasion of Laos II,816,DRV,817,RVN,1,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,0,0,0,0,0,0,0,yan,1,0,0,0,3,0,1,1,CONVENTIONAL,CONVENTIONAL,2,3
241,1971,Invasion of Laos II,816,DRV,812,LAO,1,1,FALSE,TRUE,FALSE,TRUE,NEUTRAL,NEUTRAL,0,0,0,0,0,0,0,0,yan,0,0,0,1,3,0,1,1,,CONVENTIONAL,2,
241,1971,Invasion of Laos II,816,DRV,2,USA,1,1,FALSE,TRUE,FALSE,FALSE,NEUTRAL,LOSS,0,14,0,1,0,1,0,1,yan,1,0,1,0,3,0,1,1,CONVENTIONAL,CONVENTIONAL,2,3
